book,chapter,verse,content_mismatch_summary,issue_count,order_differs_from_greek_syntax_informational_only,tr_scrivener_sequence,db_sequence,content_mismatch_detail
1Co,2,3,word_substitution,1,yes,κἀγὼ ἐν ἀσθενείᾳ καὶ ἐν φόβῳ καὶ ἐν τρόμῳ πολλῷ ἐγενόμην πρὸς ὑμᾶς·,εγω εγενομην προς υμας εν ασθενεια και εν φοβω και εν πολλω τρομω,"DIFFERENT FORM: same Strong's G1473, TR 'κἀγὼ' vs DB 'εγω'"
1Co,2,9,extra_word,1,yes,"ἀλλὰ καθὼς γέγραπται· ἃ ὀφθαλμὸς οὐκ εἶδεν καὶ οὖς οὐκ ἤκουσεν καὶ ἐπὶ καρδίαν ἀνθρώπου οὐκ ἀνέβη, ἃ ἡτοίμασεν ὁ θεὸς τοῖς ἀγαπῶσιν αὐτόν.¶",αλλα καθως γεγραπται οφθαλμος α ειδεν ουκ ειδεν και ουκ ους ηκουσεν και ανεβη ουκ επι καρδιαν ανθρωπου α ὁ θεος ητοιμασεν τοις αγαπωσιν αυτον,"EXTRA: DB has 'ειδεν' (G3708), no TR counterpart anywhere in verse"
1Co,2,11,missing_word,1,yes,τίς γὰρ οἶδεν ἀνθρώπων τὰ τοῦ ἀνθρώπου εἰ μὴ τὸ πνεῦμα τοῦ ἀνθρώπου τὸ ἐν αὐτῷ; οὕτως καὶ τὰ τοῦ θεοῦ οὐδεὶς οἶδεν εἰ μὴ τὸ πνεῦμα τοῦ θεοῦ.,γαρ τις ανθρωπων τα ὁ ανθρωπου ει μη ὁ πνευμα ὁ ανθρωπου το εν αυτω και ουτως τα ὁ θεου οιδεν ουδεις ει μη ὁ πνευμα ὁ θεου,"MISSING: TR has 'οἶδεν' (G6063), no match anywhere in DB verse"
1Co,3,1,mixed_content,2,yes,"Κἀγώ, ἀδελφοί, οὐκ ἠδυνήθην λαλῆσαι ὑμῖν ὡς πνευματικοῖς ἀλλ᾽ ὡς σαρκικοῖς ὡς νηπίοις ἐν Χριστῷ.",και εγω αδελφοι ηδυνηθην ουκ λαλησαι υμιν ως πνευματικοις αλλ ως σαρκικοις ως νηπιοις εν χριστω,"DIFFERENT FORM: same Strong's G1473, TR 'Κἀγώ,' vs DB 'εγω' | EXTRA: DB has 'και' (G2532), no TR counterpart anywhere in verse"
1Co,4,2,extra_word,2,yes,λοιπὸν ζητεῖται ἐν τοῖς οἰκονόμοις ἵνα πιστός τις εὑρεθῇ.,δε λοιπον ο ζητειται εν ὁ οικονομοις ινα τις ευρεθη πιστος,"EXTRA: DB has 'δε' (G1161), no TR counterpart anywhere in verse | EXTRA: DB has 'ο' (G3739), no TR counterpart anywhere in verse"
1Co,4,4,strongs_mismatch,1,yes,οὐδὲν γὰρ ἐμαυτῷ σύνοιδα· ἀλλ᾽ οὐκ ἐν τούτῳ δεδικαίωμαι· ὁ δὲ ἀνακρίνων με κύριός ἐστιν.,γαρ συνοιδα ουδεν εμαυτω αλλ ουκ τουτω εν δεδικαιωμαι δε ο ανακρινων με εστιν κυριος,"STRONGS MISMATCH: word text matches ('σύνοιδα·'); expected Strong's (TR/TAGNT G6083, cross-walked to this DB's lexeme numbering: G6083) vs DB actual 'συνοιδα'=G4894"
1Co,5,11,missing_word,1,yes,"νῦνὶ δὲ ἔγραψα ὑμῖν μὴ συναναμίγνυσθαι, ἐάν τις ἀδελφὸς ὀνομαζόμενος ᾖ πόρνος ἢ πλεονέκτης ἢ εἰδωλολάτρης ἢ λοίδορος ἢ μέθυσος ἢ ἅρπαξ· τῷ τοιούτῳ μηδὲ συνεσθίειν.",δε νυνι εγραψα υμιν μη συναναμιγνυσθαι εαν τις ονομαζομενος αδελφος πορνος η πλεονεκτης η ειδωλολατρης η λοιδορος η μεθυσος η αρπαξ ὁ τοιουτω μηδε συνεσθιειν,"MISSING: TR has 'ᾖ' (G1510), no match anywhere in DB verse"
1Co,6,5,extra_word,2,yes,"πρὸς ἐντροπὴν ὑμῖν λέγω. οὕτως οὐκ ἐστιν ἐν ὑμῖν σοφός, ὃς δυνήσεται διακρῖναι ἀνὰ μέσον τοῦ ἀδελφοῦ αὐτοῦ;",λεγω προς υμιν εντροπην εστιν ουτως ουκ σοφος εν υμιν ουδε εις ος δυνησεται διακριναι ανα μεσον αυτου ὁ αδελφου,"EXTRA: DB has 'ουδε' (G3761), no TR counterpart anywhere in verse | EXTRA: DB has 'εις' (G1520), no TR counterpart anywhere in verse"
1Co,7,5,mixed_content,2,yes,"μὴ ἀποστερεῖτε ἀλλήλους εἰ μήτι ἂν ἐκ συμφώνου πρὸς καιρόν, ἵνα σχολάζητε τῇ νηστείᾳ καὶ τῇ προσευχῇ καὶ πάλιν ἐπὶ τὸ αὐτὸ συνέρχησθε ἵνα μὴ πειράζῃ ὑμᾶς ὁ σατανᾶς διὰ τὴν ἀκρασίαν ὑμῶν.",αποστερειτε αλληλους εἰ μη τι αν εκ συμφωνου προς καιρον ινα σχολαζητε ὁ νηστεια και ὁ προσευχη και συνερχησθε παλιν επι ὁ αυτο ινα ὁ σατανας πειραζη υμας μη δια υμων ὁ ακρασιαν,"MISSING: TR has 'μήτι' (G3385), no match anywhere in DB verse | EXTRA: DB has 'τι' (G5100), no TR counterpart anywhere in verse"
1Co,7,12,strongs_mismatch,1,yes,"Τοῖς δὲ λοιποῖς λέγω ἐγὼ οὐχ ὁ κύριος, εἴ τις ἀδελφὸς γυναῖκα ἔχει ἄπιστον καὶ αὕτη συνευδοκεῖ οἰκεῖν μετ᾽ αὐτοῦ, μὴ ἀφιέτω αὐτήν·",δε ὁ λοιποις λεγω εγω ουχ ὁ κυριος ει τις αδελφος εχει γυναικα απιστον και αυτη συνευδοκει οικειν μετ αυτου μη αφιετω αυτην,"STRONGS MISMATCH: word text matches ('αὕτη'); expected Strong's (TR/TAGNT G3778, cross-walked to this DB's lexeme numbering: G3778) vs DB actual 'αυτην'=G0846"
1Co,7,13,strongs_mismatch,1,no,"καὶ γυνὴ ἥτις ἔχει ἄνδρα ἄπιστον καὶ αὑτὸς συνευδοκεῖ οἰκεῖν μετ᾽ αὐτῆς, μὴ ἀφιέτω αὐτόν",και γυνη ητις εχει ανδρα απιστον και αυτος συνευδοκει οικειν μετ αυτης μη αφιετω αυτον,"STRONGS MISMATCH: word text matches ('αὑτὸς'); expected Strong's (TR/TAGNT G1438, cross-walked to this DB's lexeme numbering: G1438/G3778) vs DB actual 'αυτος'=G0846"
1Co,7,15,strongs_mismatch,1,yes,"εἰ δὲ ὁ ἄπιστος χωρίζεται, χωριζέσθω· οὐ δεδούλωται ὁ ἀδελφὸς ἢ ἡ ἀδελφὴ ἐν τοῖς τοιούτοις· ἐν δὲ εἰρήνῃ κέκληκεν ἡμᾶς ὁ θεός.",τοις ο δε ει απιστος χωριζεται χωριζεσθω ὁ αδελφος η ὁ αδελφη ου δεδουλωται εν τοιουτοις δε ὁ θεος κεκληκεν ημας εν ειρηνη,"STRONGS MISMATCH: word text matches ('ἡμᾶς'); expected Strong's (TR/TAGNT G2248, cross-walked to this DB's lexeme numbering: G2248/G4771) vs DB actual 'ημας'=G1473"
1Co,7,29,word_substitution,1,yes,"Τοῦτο δέ φημι, ἀδελφοί, ὁ καιρὸς συνεσταλμένος τὸ λοιπόν ἐστίν, ἵνα καὶ οἱ ἔχοντες γυναῖκας ὡς μὴ ἔχοντες ὦσιν,",δε τουτο φημι αδελφοι ὁ καιρος συνεσταλμενος εστιν ὁ λοιπον ινα και οι εχοντες γυναικας ωσιν ως εχοντες μη,"DIFFERENT FORM: same Strong's G3588, TR 'τὸ' vs DB 'οι'"
1Co,7,37,extra_word,1,yes,"ὃς δὲ ἕστηκεν ἐν τῇ καρδίᾳ ἑδραῖος μὴ ἔχων ἀνάγκην, ἐξουσίαν δὲ ἔχει περὶ τοῦ ἰδίου θελήματος, καὶ τοῦτο κέκρικεν ἐν τῇ καρδίᾳ τοῦ τηρεῖν τὴν ἑαυτοῦ παρθένον, καλῶς ποιεῖ",δε ος εστηκεν εδραιος εν ὁ καρδια εχων μη αναγκην δε εχει εξουσιαν περι ὁ ιδιου θεληματος και τουτο κεκρικεν εν αυτου ὁ καρδια ὁ τηρειν εαυτου ὁ παρθενον ποιει καλως,"EXTRA: DB has 'αυτου' (G0846), no TR counterpart anywhere in verse"
1Co,7,38,extra_word,1,yes,"ὥστε καὶ ὁ ἐκγαμίζων καλῶς ποιεῖ, ὁ μὴ ἑκγαμίζων κρεῖσσον ποιεῖ",ωστε και ο εκγαμιζων ποιει καλως δε ο μη εκγαμιζων ποιει κρεισσον,"EXTRA: DB has 'δε' (G1161), no TR counterpart anywhere in verse"
1Co,7,39,strongs_mismatch,1,yes,"Γυνὴ δέδεται νόμῳ ἐφ᾽ ὅσον χρόνον ζῇ ὁ ἀνὴρ αὐτῆς· ἐὰν δὲ κοιμηθῇ ὁ ἀνήρ αὐτῆς, ἐλευθέρα ἐστὶν ᾧ θέλει γαμηθῆναι, μόνον ἐν κυρίῳ.",γυνη δεδεται νομω εφ χρονον οσον αυτης ὁ ανηρ ζη δε εαν αυτης ὁ ανηρ κοιμηθη εστιν ελευθερα γαμηθηναι ω θελει μονον εν κυριω,"STRONGS MISMATCH: word text matches ('μόνον'); expected Strong's (TR/TAGNT G3441, cross-walked to this DB's lexeme numbering: G3441) vs DB actual 'μονον'=G3440"
1Co,8,2,strongs_mismatch,1,yes,"εἴ δέ τις δοκεῖ εἰδέναι τι, οὐδέπω οὐδὲν ἔγνωκεν καθὼς δεῖ γνῶναι·",δε ει τις δοκει ειδεναι τι εγνωκεν ουδεν ουδεπω καθως δει γνωναι,"STRONGS MISMATCH: word text matches ('εἰδέναι'); expected Strong's (TR/TAGNT G6063, cross-walked to this DB's lexeme numbering: G1097/G6063) vs DB actual 'ειδεναι'=G1492"
1Co,8,9,mixed_content,2,yes,βλέπετε δὲ μή πως ἡ ἐξουσία ὑμῶν αὕτη πρόσκομμα γένηται τοῖς ἀσθενοῦσιν,δε βλεπετε μηπως αυτη ὁ εξουσια υμων γενηται προσκομμα τοις ασθενουσιν,"DIFFERENT FORM: same Strong's G4458, TR 'πως' vs DB 'μηπως' | MISSING: TR has 'μή' (G3361), no match anywhere in DB verse"
1Co,8,11,extra_word,2,yes,"Καὶ ὁ ἀσθενῶν ἐπὶ τῇ σῇ γνώσει, ἀδελφὸς δι᾽ ὃν Χριστὸς ἀπέθανεν.",τη ο και επι ση γνωσει απολειται ασθενων αδελφος απολειται δι ον χριστος απεθανεν,"EXTRA: DB has 'απολειται' (G0622), no TR counterpart anywhere in verse | EXTRA: DB has 'απολειται' (G0622), no TR counterpart anywhere in verse"
1Co,9,2,extra_word,1,yes,"εἰ ἄλλοις οὐκ εἰμὶ ἀπόστολος, ἀλλά γε ὑμῖν εἰμι· ἡ γὰρ σφραγίς τῆς ἀποστολῆς ὑμεῖς ἐστε ἐν κυρίῳ.",της η ει ειμι ουκ αποστολος αλλοις αλλα γε ειμι υμιν γαρ σφραγις εμης αποστολης εστε υμεις εν κυριω,"EXTRA: DB has 'εμης' (G1699), no TR counterpart anywhere in verse"
1Co,9,8,extra_word,1,yes,μὴ κατὰ ἄνθρωπον ταῦτα λαλῶ; ἢ καὶ ὁ νόμος ταῦτα λέγει;,λαλω ταυτα μη κατα ανθρωπον η λεγει ουχι ὁ νομος ταυτα και,"EXTRA: DB has 'ουχι' (G3780), no TR counterpart anywhere in verse"
1Co,9,15,extra_word,1,yes,ἐγὼ δὲ οὐδενὶ τούτων· οὐκ ἔγραψα δὲ ταῦτα ἵνα οὕτως γένηται ἐν ἐμοί· καλὸν γάρ μοι μᾶλλον ἀποθανεῖν ἢ τὸ καύχημά μου ἵνα τις κενώσῃ,δε εγω εχρησαμην ουδενι τουτων δε ουκ εγραψα ταυτα ινα γενηται ουτως εν εμοι γαρ καλον μαλλον μοι αποθανειν η ινα τις κενωση μου ὁ καυχημα,"EXTRA: DB has 'εχρησαμην' (G5530), no TR counterpart anywhere in verse"
1Co,9,20,missing_word,2,yes,"καὶ ἐγενόμην τοῖς Ἰουδαίοις ὡς Ἰουδαῖος ἵνα Ἰουδαίους κερδήσω· τοῖς ὑπὸ νόμον ὡς ὑπὸ νόμον, ὑπὸ νόμον, ἵνα τοὺς ὑπὸ νόμον κερδήσω·",τοις και ιουδαιοις εγενομην ως ιουδαιος ινα κερδησω ιουδαιους τοις υπο νομον ως υπο νομον ινα κερδησω τους υπο νομον,"MISSING: TR has 'ὑπὸ' (G5259), no match anywhere in DB verse | MISSING: TR has 'νόμον' (G3551), no match anywhere in DB verse"
1Co,9,23,strongs_mismatch,1,yes,Τοῦτο δὲ ποιῶ διὰ τὸ εὐαγγέλιον ἵνα συγκοινωνὸς αὐτοῦ γένωμαι.¶,δε τουτο ποιω δια ὁ ευαγγελιον ινα γενωμαι συγκοινωνος αυτου,"STRONGS MISMATCH: word text matches ('Τοῦτο'); expected Strong's (TR/TAGNT G5124, cross-walked to this DB's lexeme numbering: G3956/G5124) vs DB actual 'τουτο'=G3778"
1Co,9,27,mixed_content,2,yes,"ἀλλ᾽ ὑπωπιάζω μου τὸ σῶμα καὶ δουλαγωγῶ, μή πως ἄλλοις κηρύξας αὐτὸς ἀδόκιμος γένωμαι.¶",αλλ υπωπιαζω μου ὁ σωμα και δουλαγωγω μηπως κηρυξας αλλοις αυτος γενωμαι αδοκιμος,"DIFFERENT FORM: same Strong's G4458, TR 'πως' vs DB 'μηπως' | MISSING: TR has 'μή' (G3361), no match anywhere in DB verse"
1Co,10,8,mixed_content,2,yes,"μηδὲ πορνεύωμεν καθώς τινες αὐτῶν ἐπόρνευσαν, καὶ ἔπεσαν ἕν μιᾷ ἡμέρᾳ εἴκοσι τρεῖς χιλιάδες.",μηδε πορνευωμεν καθως τινες αυτων επορνευσαν και επεσον εν μια ημερα εικοσιτρεις χιλιαδες,"DIFFERENT FORM: same Strong's G1501, TR 'εἴκοσι' vs DB 'εικοσιτρεις' | MISSING: TR has 'τρεῖς' (G5140), no match anywhere in DB verse"
1Co,10,29,mixed_content,2,yes,συνείδησιν δὲ λέγω οὐχὶ τὴν ἑαυτοῦ ἀλλὰ τὴν τοῦ ἑτέρου. ἱνατί γὰρ ἡ ἐλευθερία μου κρίνεται ὑπὸ ἄλλης συνειδήσεως;,δε συνειδησιν λεγω ουχι την εαυτου αλλα την ὁ ετερου γαρ ινα τι μου ὁ ελευθερια κρινεται υπο αλλης συνειδησεως,"DIFFERENT FORM: same Strong's G2443, TR 'ἱνατί' vs DB 'ινα' | EXTRA: DB has 'τι' (G5101), no TR counterpart anywhere in verse"
1Co,11,5,extra_word,2,yes,πᾶσα δὲ γυνὴ προσευχομένη ἢ προφητεύουσα ἀκατακαλύπτῳ τῇ κεφαλῇ καταισχύνει τὴν κεφαλὴν ἑαυτῆς ἓν γάρ ἐστιν καὶ τὸ αὐτὸ τῇ ἐξυρημένῃ.,τη το δε πασα γυνη προσευχομενη η προφητευουσα ὁ κεφαλη ὁ κεφαλη ακατακαλυπτω καταισχυνει εαυτης ὁ κεφαλην γαρ εστιν και εν αυτο εξυρημενη,"EXTRA: DB has 'ὁ' (G3588), no TR counterpart anywhere in verse | EXTRA: DB has 'κεφαλην' (G2776), no TR counterpart anywhere in verse"
1Co,12,23,strongs_mismatch,2,yes,"καὶ ἃ δοκοῦμεν ἀτιμότερα εἶναι τοῦ σώματος, τούτοις τιμὴν περισσοτέραν περιτίθεμεν, καὶ τὰ ἀσχήμονα ἡμῶν εὐσχημοσύνην περισσοτέραν ἔχει·",τα και του σωματος α δοκουμεν ειναι ατιμοτερα τουτοις περιτιθεμεν περισσοτεραν τιμην και ημων ασχημονα εχει περισσοτεραν ευσχημοσυνην,"STRONGS MISMATCH: word text matches ('περισσοτέραν'); expected Strong's (TR/TAGNT G4055, cross-walked to this DB's lexeme numbering: G4055) vs DB actual 'περισσοτεραν'=G4053 | STRONGS MISMATCH: word text matches ('περισσοτέραν'); expected Strong's (TR/TAGNT G4055, cross-walked to this DB's lexeme numbering: G4055) vs DB actual 'περισσοτεραν'=G4053"
